ID,Binomial,Sex,Location,Latitude,Longitude,Cloacal_Body_Temperature,Time,Date,Season,SVL,TL,Tail,Mass,Bt_IR_9AM,Bt_IR_10AM,Bt_IR_11AM,Bt_IR_12AM,Bt_IR_13PM,Bt_IR_14PM,Bt_IR_15PM,Bt_IR_16PM,Bt_IR_17PM,Mean_Tpref,Comments
GS A1,Mesalina bahaeldini,Male,Mishmar,31.380732,35.380528,27.6,7:25:00,19/05/2020,Summer,46.09,105.23,Original,2.4,33.7,38.7,40.2,36.4,34.6,37.4,37,33.2,36.2,36.37777778,NA
GS A10,Mesalina bahaeldini,Male,Tzeelim,31.3516,35.38712,39.3,12:00:00,19/05/2020,Summer,40.32,75.04,Regenerated,1.5,37,36.4,36.1,36.3,38.9,42.5,35.1,38.8,36.2,37.47777778,NA
GS A11,Mesalina bahaeldini,Male,Tzeelim,31.351535,35.353829,31,7:35:00,24/05/2020,Summer,44.45,73.24,Cut (original),1.8,26,26.3,31.4,40.4,41.8,37.5,37.3,37.3,41.1,35.45555556,NA
GS A12,Mesalina bahaeldini,Female,Tzeelim,31.351456,35.359039,29.4,8:12:00,24/05/2020,Summer,45.19,73.84,Cut (original),2.1,36.8,41.7,33.7,29.7,28.9,35.5,38.5,30.3,35.9,34.55555556,NA
GS A13,Mesalina bahaeldini,Male,Tzeelim,31.351859,35.364703,31.3,8:43:00,24/05/2020,Summer,44.08,61.47,Cut (original),2.2,28.2,27.7,29.7,42,37.9,39.5,38,37.7,40,35.63333333,NA
GS A14,Mesalina bahaeldini,Male,Tzeelim,31.352915,35.370907,30.4,9:10:00,24/05/2020,Summer,42.52,61.83,Regenerated,1.8,37.1,27.6,37.9,35.7,39.3,37.4,33.8,38,37.3,36.01111111,NA
GS A15,Mesalina bahaeldini,Male,Tzeelim,31.349161,35.375569,35.3,10:07:00,24/05/2020,Summer,41.47,77.93,Regenerated,1.3,32.9,34,39.2,34.4,39.6,39.4,42.2,37.3,42.1,37.9,NA
GS A17,Mesalina bahaeldini,Female,Mishmar,31.380391,35.380379,39.3,13:45:00,24/05/2020,Summer,44.16,78.15,Regenerated,1.8,37.7,34.8,39.1,34.3,41.1,40.3,41.9,40,37.5,38.52222222,NA
GS A18,Mesalina bahaeldini,Male,Mishmar,31.381446,35.376602,29.9,7:30:00,25/05/2020,Summer,44.81,69.92,Regenerated,2.5,33,39.5,36.3,39.5,38,37.7,39.6,37,39.5,37.78888889,NA
GS A19,Mesalina bahaeldini,Male,Mishmar,31.382104,35.37604,32.2,7:50:00,25/05/2020,Summer,43.05,56.1,Regenerated,1.6,31.9,38.3,37.3,40.6,31,33,39.6,33,35.2,35.54444444,NA
GS A2,Mesalina bahaeldini,Male,Mishmar,31.380691,35.278755,32,7:50:00,18/05/2020,Summer,50.72,57.1,Regenerated,2,34.1,23.7,35.7,28.6,43.7,39.1,38.2,37.1,36.4,35.17777778,NA
GS A20,Mesalina bahaeldini,Male,Mishmar,31.381141,35.374223,33,9:40:00,25/05/2020,Summer,40.49,60.78,Cut (regenerated),1.9,30.3,33,41.8,35.9,41.8,40.1,40.1,33.3,37.3,37.06666667,NA
GS A21,Mesalina bahaeldini,Male,Tzeelim,31.351717,35.354576,31.6,7:00:00,02/06/2020,Summer,44.18,97.2,Original,2.1,26.6,26.8,36.8,33.5,41.7,37.9,37.3,26.8,37.8,33.91111111,NA
GS A22,Mesalina bahaeldini,Male,Tzeelim,31.351742,35.354377,32.1,7:10:00,02/06/2020,Summer,41.15,26.7,Cut (original),1.7,39.1,38.3,35.1,37.1,38.2,38.4,40.9,40,39,38.45555556,NA
GS A23,Mesalina bahaeldini,Female,Tzeelim,31.348892,35.371911,37.2,10:10:00,02/06/2020,Summer,45.26,50.42,Cut (original),1.8,27.4,27.1,38.3,33.7,41.8,34.9,39.6,40.4,37.1,35.58888889,NA
GS A24,Mesalina bahaeldini,Male,Tzeelim,31.351331,35.363256,38,12:00:00,09/06/2020,Summer,48.36,74.01,Regenerated,2.3,30.8,29.2,31.8,36,32.4,33.1,30.6,32.1,34.2,32.24444444,NA
