iButton_Temp,Time_Date,Object,Size,Location,id,Month,Season
26.5,06/01/2020 0:29,Bush,Large,Mishmar,1,6,Summer
26.5,06/01/2020 1:29,Bush,Large,Mishmar,1,6,Summer
26,06/01/2020 2:29,Bush,Large,Mishmar,1,6,Summer
26,06/01/2020 3:29,Bush,Large,Mishmar,1,6,Summer
25.5,06/01/2020 4:29,Bush,Large,Mishmar,1,6,Summer
25,06/01/2020 5:29,Bush,Large,Mishmar,1,6,Summer
25,06/01/2020 6:29,Bush,Large,Mishmar,1,6,Summer
26.5,06/01/2020 7:29,Bush,Large,Mishmar,1,6,Summer
28.5,06/01/2020 8:29,Bush,Large,Mishmar,1,6,Summer
30,06/01/2020 9:29,Bush,Large,Mishmar,1,6,Summer
31.5,06/01/2020 10:29,Bush,Large,Mishmar,1,6,Summer
33.5,06/01/2020 11:29,Bush,Large,Mishmar,1,6,Summer
36.5,06/01/2020 12:29,Bush,Large,Mishmar,1,6,Summer
37.5,06/01/2020 13:29,Bush,Large,Mishmar,1,6,Summer
38,06/01/2020 14:29,Bush,Large,Mishmar,1,6,Summer
38,06/01/2020 15:29,Bush,Large,Mishmar,1,6,Summer
37.5,06/01/2020 16:29,Bush,Large,Mishmar,1,6,Summer
37.5,06/01/2020 17:29,Bush,Large,Mishmar,1,6,Summer
35.5,06/01/2020 18:29,Bush,Large,Mishmar,1,6,Summer
33.5,06/01/2020 19:29,Bush,Large,Mishmar,1,6,Summer
32,06/01/2020 20:29,Bush,Large,Mishmar,1,6,Summer
31,06/01/2020 21:29,Bush,Large,Mishmar,1,6,Summer
30,06/01/2020 22:29,Bush,Large,Mishmar,1,6,Summer
29.5,06/01/2020 23:29,Bush,Large,Mishmar,1,6,Summer
29,06/02/2020 0:29,Bush,Large,Mishmar,1,6,Summer
28.5,06/02/2020 1:29,Bush,Large,Mishmar,1,6,Summer
28,06/02/2020 2:29,Bush,Large,Mishmar,1,6,Summer
27.5,06/02/2020 3:29,Bush,Large,Mishmar,1,6,Summer
27,06/02/2020 4:29,Bush,Large,Mishmar,1,6,Summer
26.5,06/02/2020 5:29,Bush,Large,Mishmar,1,6,Summer
26.5,06/02/2020 6:29,Bush,Large,Mishmar,1,6,Summer
28,06/02/2020 7:29,Bush,Large,Mishmar,1,6,Summer
29.5,06/02/2020 8:29,Bush,Large,Mishmar,1,6,Summer
31.5,06/02/2020 9:29,Bush,Large,Mishmar,1,6,Summer
33.5,06/02/2020 10:29,Bush,Large,Mishmar,1,6,Summer
35.5,06/02/2020 11:29,Bush,Large,Mishmar,1,6,Summer
39,06/02/2020 12:29,Bush,Large,Mishmar,1,6,Summer
41,06/02/2020 13:29,Bush,Large,Mishmar,1,6,Summer
40.5,06/02/2020 14:29,Bush,Large,Mishmar,1,6,Summer
38,06/02/2020 15:29,Bush,Large,Mishmar,1,6,Summer
38,06/02/2020 16:29,Bush,Large,Mishmar,1,6,Summer
36.5,06/02/2020 17:29,Bush,Large,Mishmar,1,6,Summer
34.5,06/02/2020 18:29,Bush,Large,Mishmar,1,6,Summer
26.5,06/01/2020 0:27,Bush,Large,Tzeelim,1,6,Summer
25,06/01/2020 1:27,Bush,Large,Tzeelim,1,6,Summer
24,06/01/2020 2:27,Bush,Large,Tzeelim,1,6,Summer
23.5,06/01/2020 3:27,Bush,Large,Tzeelim,1,6,Summer
23.5,06/01/2020 4:27,Bush,Large,Tzeelim,1,6,Summer
22.5,06/01/2020 5:27,Bush,Large,Tzeelim,1,6,Summer
22.5,06/01/2020 6:27,Bush,Large,Tzeelim,1,6,Summer
24.5,06/01/2020 7:27,Bush,Large,Tzeelim,1,6,Summer
29,06/01/2020 8:27,Bush,Large,Tzeelim,1,6,Summer
33.5,06/01/2020 9:27,Bush,Large,Tzeelim,1,6,Summer
39,06/01/2020 10:27,Bush,Large,Tzeelim,1,6,Summer
42,06/01/2020 11:27,Bush,Large,Tzeelim,1,6,Summer
44,06/01/2020 12:27,Bush,Large,Tzeelim,1,6,Summer
44,06/01/2020 13:27,Bush,Large,Tzeelim,1,6,Summer
42.5,06/01/2020 14:27,Bush,Large,Tzeelim,1,6,Summer
40,06/01/2020 15:27,Bush,Large,Tzeelim,1,6,Summer
38,06/01/2020 16:27,Bush,Large,Tzeelim,1,6,Summer
36.5,06/01/2020 17:27,Bush,Large,Tzeelim,1,6,Summer
35.5,06/01/2020 18:27,Bush,Large,Tzeelim,1,6,Summer
33.5,06/01/2020 19:27,Bush,Large,Tzeelim,1,6,Summer
31.5,06/01/2020 20:27,Bush,Large,Tzeelim,1,6,Summer
