"TIMESTAMP","RECORD","Speed_AVG","Direction_AVG","Direction_StDev","Raw_Speed_AVG","Raw_Direction_AVG","Raw_Direction_StDev","Speed_Max","Temperature_Avg","RH_Avg","Dewpoint_T_Avg","Pressure_Avg","Radiation_Avg","Sunshine","IR_Temp_Avg","IRdetectorT_Avg","Batt_Min"
"2020-07-05 08:40:00",10578,1.223,56.46,43.49,1.223,190.5,43.5,3.05,34.86,36.7,18.05,1045.6,726,3.01,40.85,40.37,12.87
"2020-07-05 08:50:00",10579,2.497,105.8,26.27,2.497,239.8,26.26,5.3,35.28,33.24,16.87,1045.507,758.71,3.18,41.36,40.16,12.87
"2020-07-05 09:00:00",10580,3.451,149.4,14.96,3.451,283.4,14.97,5.6,35.73,31.24,16.32,1045.386,752.49,3.35,42.24,40.4,12.88
"2020-07-05 09:10:00",10581,3.509,132.8,16.6,3.509,266.8,16.6,5.27,35.54,32.01,16.59,1045.302,815.84,3.51,42.25,40.34,12.88
"2020-07-05 09:20:00",10582,3.314,126.9,15.64,3.314,261,15.64,5.52,35.81,31.8,16.65,1045.195,789.45,3.68,43.18,40.43,12.88
"2020-07-05 09:30:00",10583,2.996,136.4,17.84,2.996,270.4,17.84,5.03,35.87,32.36,16.95,1045.108,861.84,3.85,44.01,40.53,12.88
"2020-07-05 09:40:00",10584,3.346,137.5,14.32,3.346,271.6,14.35,6.15,35.98,32.51,17.16,1045.005,879.09,4.01,44.72,40.89,12.88
"2020-07-05 09:50:00",10585,3.505,130.9,15.08,3.505,265,15.07,6.09,36.14,33.06,17.55,1044.998,895.24,4.18,45.09,40.93,12.88
"2020-07-05 10:00:00",10586,3.515,143.8,15.01,3.515,277.9,15,4.83,36.2,33.8,17.97,1044.93,912.37,4.35,45.8,40.99,12.88
"2020-07-05 10:10:00",10587,3.219,148.7,11.06,3.219,282.7,11.06,5.6,36.55,33.04,17.89,1044.752,926.73,4.51,46.57,41.38,12.88
"2020-07-05 10:20:00",10588,3.058,160.7,17.33,3.058,294.8,17.34,5.77,36.85,31.94,17.67,1044.672,940.92,4.68,47.04,41.66,12.88
"2020-07-05 10:30:00",10589,2.884,144.8,25.91,2.884,278.9,25.92,5.09,36.92,31.07,17.28,1044.606,956.21,4.85,47.6,41.88,12.88
"2020-07-05 10:40:00",10590,2.247,140.2,25.81,2.247,274.4,25.89,4.09,37.24,29.25,16.61,1044.49,969.44,5.01,48.37,42.29,12.88
"2020-07-05 10:50:00",10591,2.913,129.7,19.95,2.913,264.2,19.85,5.06,37.49,27.93,16.03,1044.335,982.17,5.18,48.49,42.36,12.88
"2020-07-05 11:00:00",10592,2.77,131.6,22.83,2.77,266.2,22.76,4.91,37.82,26.53,15.56,1044.215,991.88,5.35,48.93,42.49,12.88
"2020-07-05 11:10:00",10593,2.53,129.3,30.72,2.53,264.1,30.71,5.03,37.95,25.65,15.22,1044.097,995.47,5.51,49.26,42.82,12.88
"2020-07-05 11:20:00",10594,2.493,101.3,33.04,2.493,236.3,33.06,5.49,38.48,24.52,14.86,1043.98,1003.48,5.68,49.59,42.83,12.88
"2020-07-05 11:30:00",10595,2.218,132.8,42.41,2.218,267.8,42.35,6.07,38.55,24.29,14.89,1043.953,1005.27,5.85,50.03,43.19,12.88
"2020-07-05 11:40:00",10596,1.959,109.5,29.21,1.959,244.5,29.24,3.97,38.98,23.85,14.88,1043.9,1008.22,6.01,50.46,43.68,12.88
"2020-07-05 11:50:00",10597,2.198,125.1,51.11,2.198,260,51.12,4.81,39.09,24.19,15.24,1043.789,1006.1,6.18,50.6,44.13,12.88
"2020-07-05 12:00:00",10598,2.237,62.44,29.38,2.237,197.4,29.36,5.09,38.82,27.46,16.93,1043.582,1003.75,6.35,50.07,43.82,12.88
"2020-07-05 12:10:00",10599,2.313,54.58,26.25,2.313,189.6,26.26,4.89,39.22,25.35,16.06,1043.459,999.41,6.51,50.17,43.6,12.88
"2020-07-05 12:20:00",10600,2.334,60.4,35,2.334,195.4,34.99,4.16,39.29,25.11,16,1043.309,995.2,6.68,50.11,43.6,12.88
"2020-07-05 12:30:00",10601,2.248,90.2,19.88,2.248,225.2,19.86,4.04,39.5,24.05,15.54,1043.23,986.36,6.85,50.33,43.7,12.88
"2020-07-05 12:40:00",10602,1.748,77.81,36.92,1.748,212.7,36.96,4.19,39.75,24.25,15.82,1043.071,974.8,7.01,50.72,44.15,12.88
"2020-07-05 12:50:00",10603,2.492,62.25,15.54,2.492,197.2,15.54,4.24,39.79,23.99,15.67,1042.893,965.89,7.18,49.85,44.16,12.88
"2020-07-05 13:00:00",10604,2.125,74.7,31.71,2.125,209.6,31.7,4.51,39.93,24.46,16.08,1042.762,950.66,7.35,49.98,43.96,12.88
"2020-07-05 13:10:00",10605,1.925,75.23,27.14,1.925,210.2,27.13,4.16,39.87,24.97,16.36,1042.663,932.74,7.51,49.8,44.18,12.88
"2020-07-05 13:20:00",10606,2.12,50.89,24.12,2.12,185.8,24.14,4.13,39.92,25.23,16.61,1042.554,919.23,7.68,49.36,43.99,12.88
"2020-07-05 13:30:00",10607,2.298,64.64,24.12,2.298,199.6,24.13,4.2,39.88,26.42,17.27,1042.392,900.18,7.85,48.9,43.89,12.88
"2020-07-05 13:40:00",10608,1.899,78.81,31.05,1.899,213.8,31.08,4.41,39.92,24.82,16.3,1042.285,884.11,8.01,48.92,43.74,12.87
"2020-07-05 13:50:00",10609,2.046,44.71,25.53,2.046,179.6,25.55,4.54,40.35,25.39,17.02,1042.145,861.37,8.18,48.51,44.15,12.87
"2020-07-05 14:00:00",10610,1.622,96.2,33.58,1.622,231.2,33.58,2.92,40.5,23.91,16.28,1042.052,838.18,8.35,48.6,44.34,12.87
"2020-07-05 14:10:00",10611,2.077,61.14,21.08,2.077,196.1,21.08,4.13,40.56,24.48,16.75,1041.903,812.29,8.51,47.7,44.39,12.87
"2020-07-05 14:20:00",10612,2.349,43.65,22.17,2.349,178.6,22.18,4.25,40.45,25.4,17.13,1041.744,785.43,8.68,46.91,43.98,12.87
"2020-07-05 14:30:00",10613,2.67,57.32,26.19,2.67,192.3,26.18,5.47,40.4,27.15,18.08,1041.605,756.63,8.85,46.4,43.9,12.87
"2020-07-05 14:40:00",10614,2.643,34.53,17.29,2.643,169.5,17.26,5.5,39.83,27.8,18.02,1041.418,735.56,9.01,45.45,43.25,12.87
"2020-07-05 14:50:00",10615,2.668,36.44,18.03,2.668,171.4,18.01,5.04,39.8,27,17.63,1041.355,706.42,9.18,44.95,43.05,12.86
"2020-07-05 15:00:00",10616,2.262,17.25,18.17,2.262,152.2,18.16,4.08,39.96,26.61,17.38,1041.362,676.98,9.35,44.67,43.12,12.86
"2020-07-05 15:10:00",10617,2.005,41.25,20.31,2.005,176.2,20.29,3.57,40.2,26.05,17.3,1041.267,644.89,9.51,44.27,43.29,12.86
"2020-07-05 15:20:00",10618,2.21,31.23,21.77,2.21,166.2,21.73,4.44,40.54,25.11,16.97,1041.207,613.14,9.68,43.98,43.37,12.86
"2020-07-05 15:30:00",10619,2.48,40.26,16.47,2.48,175.2,16.49,4.06,39.98,26.22,17.24,1041.164,581.37,9.85,43.12,42.92,12.86
"2020-07-05 15:40:00",10620,2.317,32.37,16.06,2.317,167.3,16.05,4.01,39.98,25.86,17.06,1041.102,552.18,10.01,42.92,42.61,12.85
"2020-07-05 15:50:00",10621,2.027,14.32,20.95,2.027,149.3,20.96,3.94,40.23,25.8,17.2,1041.119,518.51,10.18,42.97,42.81,12.85
"2020-07-05 16:00:00",10622,2.98,307.7,35.47,2.98,82.7,35.45,4.84,41.22,21.39,15.05,1041.104,489.63,10.35,43.25,43.4,12.85
"2020-07-05 16:10:00",10623,4.562,276.5,11.07,4.562,51.42,11.02,8.53,41.46,19.51,13.98,1040.978,455.46,10.51,42.68,44.06,12.85
"2020-07-05 16:20:00",10624,4.852,263.4,11.99,4.852,38.34,11.97,7.27,41.51,19.18,13.74,1040.888,418.96,10.68,42.27,43.81,12.84
"2020-07-05 16:30:00",10625,4.852,272.9,11.35,4.852,47.87,11.35,8.52,41.27,19.84,13.95,1040.894,384.85,10.85,41.98,43.53,12.84
"2020-07-05 16:40:00",10626,5.43,278.1,10.98,5.43,53.03,10.97,8.41,40.92,20.16,13.92,1040.817,350.55,11.01,41.44,43.16,12.84
"2020-07-05 16:50:00",10627,5.457,268.4,10.6,5.457,43.38,10.6,8.8,40.63,20.05,13.81,1040.851,314.52,11.18,40.94,42.61,12.83
"2020-07-05 17:00:00",10628,5.289,272.3,10.05,5.289,47.28,10.05,8.26,40.49,20.22,13.83,1040.838,277.25,11.35,40.7,42.15,12.83
"2020-07-05 17:10:00",10629,5.393,271.7,8.49,5.393,46.72,8.51,8.02,40.22,21.12,14.15,1040.85,241.37,11.51,40.27,41.79,12.83
"2020-07-05 17:20:00",10630,5.584,268.6,8.22,5.584,43.48,8.2,8.81,39.91,22.51,14.77,1040.833,204.74,11.68,39.78,41.36,12.82
"2020-07-05 17:30:00",10631,6.084,271.8,8.13,6.084,46.8,8.14,9.74,39.46,23.92,15.36,1040.808,172.62,11.85,39.3,40.72,12.82
"2020-07-05 17:40:00",10632,5.944,271.1,9.11,5.944,45.94,9.09,9.39,39.1,24.47,15.52,1040.829,137.09,12.01,38.85,40.07,12.82
"2020-07-05 17:50:00",10633,5.393,276.4,8.73,5.393,51.03,8.71,9.41,38.76,25.72,15.83,1040.801,108.93,12.02,38.55,39.49,12.81
"2020-07-05 18:00:00",10634,5.617,268.3,11.12,5.617,42.79,11.17,9.42,38.49,26.63,16.27,1040.779,83,12.02,38.13,39.02,12.81
"2020-07-05 18:10:00",10635,5.771,267,9.58,5.771,41.33,9.53,8.42,38.19,28.25,16.82,1040.726,58.78,12.02,37.73,38.56,12.81
"2020-07-05 18:20:00",10636,5.496,266,9.33,5.496,40.16,9.34,8.54,37.8,30.13,17.55,1040.714,32.93,12.02,37.3,38.09,12.81
"2020-07-05 18:30:00",10637,5.216,269.4,9.23,5.216,43.42,9.24,8.61,37.53,31.38,17.92,1040.731,20.75,12.02,36.95,37.67,12.8
"2020-07-05 18:40:00",10638,5.363,273.1,8.99,5.363,47.19,8.99,8.4,37.21,32.68,18.29,1040.756,11.78,12.02,36.57,37.27,12.8
"2020-07-05 18:50:00",10639,5.863,279,7.478,5.863,52.97,7.472,9.61,36.99,32.98,18.28,1040.722,4.8,12.02,36.23,36.95,12.79
"2020-07-05 19:00:00",10640,5.412,275,7.937,5.412,49.09,7.925,8.54,36.76,33.83,18.46,1040.817,1.41,12.02,35.95,36.65,12.79
"2020-07-05 19:10:00",10641,4.959,268.6,9.42,4.959,42.65,9.43,7.78,36.63,34,18.48,1040.872,0,12.02,35.74,36.42,12.79
"2020-07-05 19:20:00",10642,4.785,270.9,9.54,4.785,44.96,9.51,7.92,36.5,34,18.23,1040.91,0,12.02,35.49,36.24,12.78
"2020-07-05 19:30:00",10643,4.832,269.8,11.08,4.832,43.84,11.06,7.47,36.36,34.25,18.29,1041.039,0,12.02,35.26,36.07,12.78
"2020-07-05 19:40:00",10644,4.098,275.7,12.2,4.098,49.68,12.2,7.13,36.12,34.99,18.3,1041.212,0,12.02,35.04,35.86,12.77
"2020-07-05 19:50:00",10645,4.862,268.9,12.81,4.862,42.95,12.82,7.6,35.93,35.05,18.33,1041.284,0,12.02,34.83,35.65,12.78
"2020-07-05 20:00:00",10646,4.756,265.2,10.8,4.756,39.27,10.82,9,35.74,36,18.41,1041.37,0,12.02,34.62,35.45,12.78
"2020-07-05 20:10:00",10647,4.078,279.1,12.69,4.078,53.13,12.69,6.8,35.51,36.36,18.54,1041.565,0,12.02,34.42,35.24,12.78
"2020-07-05 20:20:00",10648,5.029,277,16.65,5.029,51.03,16.65,11.29,35.46,35.58,18.1,1041.628,0.26,12.02,34.34,35.06,12.78
