TIMESTAMP,ID,RECORD,Speed_AVG,Direction_AVG,Direction_StDev,Raw_Speed_AVG,Raw_Direction_AVG,Raw_Direction_StDev,Speed_Max,Temperature_Avg,RH_Avg,Dewpoint_T_Avg,Pressure_Avg,Radiation_Avg,Sunshine,IR_Temp_Avg,IRdetectorT_Avg,Batt_Min
27/09/2020 4:50,GS,20356,1.178,311.6,15.99,1.178,42.58,15.98,1.93,28.63,39.37,13.69,1054.596,0.95,0,26.35,27.42,12.61
27/09/2020 4:40,GS,20355,1.193,287,10.17,1.193,18.05,10.2,1.92,28.62,41.85,14.57,1054.575,0.87,0,26.45,27.51,12.61
27/09/2020 5:30,GS,20360,1.847,318.1,6.645,1.847,49.09,6.657,2.85,28.73,41.06,14.37,1055.039,3.43,0,26.47,27.51,12.59
27/09/2020 5:40,GS,20361,1.477,313.2,8.03,1.477,44.16,8.03,2.27,28.7,42.22,14.76,1055.151,8.99,0,26.48,27.48,12.59
27/09/2020 5:00,GS,20357,1.766,329.3,8.36,1.766,60.27,8.34,2.59,28.79,40.74,14.26,1054.722,1.23,0,26.51,27.4,12.6
27/09/2020 5:20,GS,20359,1.995,322.8,7.492,1.995,53.81,7.496,2.66,28.76,40.7,14.24,1054.948,1.3,0,26.52,27.5,12.6
27/09/2020 5:50,GS,20362,1.065,306.7,6.793,1.065,37.66,6.793,1.78,28.58,42.04,14.6,1055.289,22.2,0,26.52,27.45,12.6
27/09/2020 5:10,GS,20358,1.986,322,7.258,1.986,53.01,7.258,2.85,28.81,41.82,14.69,1054.835,0.93,0,26.56,27.45,12.6
27/09/2020 4:30,GS,20354,1.008,296.6,8.51,1.008,27.58,8.48,1.69,28.77,43.83,15.35,1054.461,0.94,0,26.6,27.62,12.61
27/09/2020 4:20,GS,20353,1.014,305.6,8.72,1.014,36.63,8.72,1.62,28.87,45.18,15.97,1054.394,0.65,0,26.65,27.74,12.62
25/09/2020 5:30,GS,20072,0.97,302.9,14.11,0.97,33.91,14.1,2.51,28.5,53,18.04,1054,3.47,0,26.76,27.66,12.6
27/09/2020 4:10,GS,20352,0.861,306.3,11.05,0.861,37.3,11.04,1.57,28.99,47.35,16.8,1054.318,0.12,0,26.77,27.95,12.62
27/09/2020 6:00,GS,20363,1.063,305.2,8.36,1.063,36.23,8.37,1.67,28.68,42.55,14.82,1055.474,49.82,0,26.77,27.54,12.61
25/09/2020 5:40,GS,20073,1.83,282.3,13.82,1.83,13.29,13.8,3.02,28.51,52.87,18.01,1054.01,10.63,0,26.89,27.56,12.6
25/09/2020 5:20,GS,20071,1.478,295.9,12.13,1.478,26.88,12.12,3.18,28.59,53,18.1,1053.947,0.84,0,26.9,27.82,12.61
