TIMESTAMP,ID,RECORD,Speed_AVG,Direction_AVG,Direction_StDev,Raw_Speed_AVG,Raw_Direction_AVG,Raw_Direction_StDev,Speed_Max,Temperature_Avg,RH_Avg,Dewpoint_T_Avg,Pressure_Avg,Radiation_Avg,Sunshine,IR_Temp_Avg,IRdetectorT_Avg,Batt_Min
28/01/2020 6:30,GS,4779,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,5.28,8.52,13.01
28/01/2020 6:40,GS,4780,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,5.512,8.27,12.99
28/01/2020 7:10,GS,4783,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,5.844,8.58,12.98
28/01/2020 7:20,GS,4784,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,5.893,8.64,12.98
28/01/2020 6:50,GS,4781,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,5.935,8.26,12.99
28/01/2020 7:30,GS,4785,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,6.003,8.64,12.98
28/01/2020 7:00,GS,4782,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,6.005,8.57,12.99
28/01/2020 7:40,GS,4786,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,7.246,9.21,12.97
28/01/2020 8:00,GS,4788,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,7.717,10.77,12.97
28/01/2020 7:50,GS,4787,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,7.91,10.31,12.97
28/01/2020 8:10,GS,4789,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,8.77,11.35,12.96
28/01/2020 8:20,GS,4790,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,9.36,12.02,12.96
28/01/2020 8:30,GS,4791,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,10.28,12.62,12.96
28/01/2020 8:40,GS,4792,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,11.45,13.58,12.96
30/01/2020 7:00,GS,4845,3.481,275.9,10.72,3.481,153.9,10.72,6.54,15.07,60.39,7.503,1054.46,35.93,0,12.05,14.62,12.71
30/01/2020 6:50,GS,4844,3.382,269.9,9.93,3.382,147.9,9.9,5.54,NAN,60.58,7.397,1037.933,NAN,0,12.17,14.33,12.74
30/01/2020 7:10,GS,4846,3.592,276.4,9.89,3.592,154.4,9.89,5.8,15.2,59.35,7.454,1054.44,59.53,0,12.31,14.87,12.71
28/01/2020 17:10,GS,4843,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,12.48,14.12,12.92
28/01/2020 8:50,GS,4793,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,12.57,14.55,12.95
30/01/2020 7:20,GS,4847,3.527,273.9,10.29,3.527,151.9,10.29,6.11,15.23,59,7.4,1054.534,86.58,0,12.67,15.1,12.71
28/01/2020 17:00,GS,4842,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,13,14.35,12.92
28/01/2020 16:50,GS,4841,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,13.01,14.57,12.92
30/01/2020 7:30,GS,4848,3.63,270,12.41,3.63,148,12.41,5.48,15.47,58.12,7.374,1054.673,115.89,0.05,13.15,15.41,12.71
28/01/2020 9:10,GS,4795,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,13.16,15.87,12.95
28/01/2020 9:20,GS,4796,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,13.25,15.39,12.95
28/01/2020 9:00,GS,4794,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,13.29,15.42,12.95
30/01/2020 7:40,GS,4849,3.612,280.2,11.48,3.612,158.2,11.47,6.17,15.53,57.82,7.337,1054.639,144.65,0.22,13.59,15.77,12.71
28/01/2020 16:40,GS,4840,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,13.64,14.8,12.93
28/01/2020 15:40,GS,4834,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,13.81,16.4,12.94
28/01/2020 16:30,GS,4839,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,14.1,14.92,12.93
30/01/2020 7:50,GS,4850,2.705,276.7,12.71,2.705,154.7,12.71,4.9,15.73,57.15,7.391,1054.603,176.62,0.38,14.23,16.19,12.72
28/01/2020 15:50,GS,4835,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,14.27,15.64,12.94
28/01/2020 16:10,GS,4837,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,14.27,15.07,12.93
28/01/2020 16:00,GS,4836,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,14.28,15.33,12.94
28/01/2020 16:20,GS,4838,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,14.38,14.94,12.93
28/01/2020 9:30,GS,4797,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,14.44,15.93,12.95
30/01/2020 8:00,GS,4851,2.502,263.6,15.8,2.502,141.6,15.8,4.48,15.97,57.47,7.662,1054.628,211.03,0.55,14.85,16.69,12.72
28/01/2020 9:40,GS,4798,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,15.26,16.6,12.95
28/01/2020 15:30,GS,4833,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,15.26,17.13,12.95
30/01/2020 8:10,GS,4852,3.371,277,10.48,3.371,155,10.48,5.68,16.16,55.62,7.398,1054.547,245.91,0.72,15.36,17,12.73
28/01/2020 14:40,GS,4828,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,15.74,17.11,12.96
28/01/2020 14:50,GS,4829,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,15.79,16.43,12.96
28/01/2020 15:10,GS,4831,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,15.85,16.01,12.95
28/01/2020 9:50,GS,4799,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,15.99,17.22,12.95
28/01/2020 15:00,GS,4830,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,16.06,16.14,12.95
30/01/2020 8:20,GS,4853,2.763,265.8,21.2,2.763,143.8,21.2,4.39,16.41,55.12,7.515,1054.629,280.45,0.88,16.18,17.41,12.73
26/02/2020 10:50,GS,4945,1.416,255.5,48.93,1.416,192,48.96,3.11,NAN,61.96,9.65,992.201,NAN,0.15,16.52,18.95,12.9
28/01/2020 13:00,GS,4818,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,16.57,17.05,12.97
28/01/2020 13:10,GS,4819,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,16.57,16.77,12.97
30/01/2020 17:30,GS,4908,0.588,356.6,19.08,0.588,234.6,19.08,1.29,19.77,47.95,8.51,1049.623,2.6,8.44,16.58,18.92,12.8
28/01/2020 13:40,GS,4822,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,16.64,17.27,12.96
28/01/2020 11:30,GS,4809,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,16.8,17.61,12.97
28/01/2020 10:00,GS,4800,0,0,0,0,0,0,0,NAN,0,0,0,NAN,0,16.87,17.76,12.95
