round_dt,Date,Time,iButton_Temp,Time_Date,Object,Size,Month,Season,RECORD,Speed_AVG,Direction_AVG,Direction_StDev,Raw_Speed_AVG,Raw_Direction_AVG,Raw_Direction_StDev,Speed_Max,Temperature_Avg,RH_Avg,Dewpoint_T_Avg,Pressure_Avg,Radiation_Avg,Sunshine,IR_Temp_Avg,IRdetectorT_Avg,Batt_Min
14/02/2022 10:00,14/02/2022,10:00,22.5,2/14/22 10:09:00 AM,Bush,Large,2,Winter,37028,0.903,119.5,48.86,0.903,133.5,48.87,2.14,20.56,47.47,9.15,1065.4,370.21,2.63,22.49,22.66,13.67
14/02/2022 10:00,14/02/2022,10:00,22.5,2/14/22 10:09:00 AM,Bush,Large,2,Winter,37029,0.785,358,62.74,0.785,12.01,62.74,1.5,20.78,47.13,9.18,1065.34,397.78,2.8,23.21,22.85,13.64
14/02/2022 10:00,14/02/2022,10:00,22.5,2/14/22 10:09:00 AM,Bush,Large,2,Winter,37030,1.037,51.65,38.31,1.037,65.65,38.31,1.67,20.91,46.99,9.24,1065.233,396.38,2.97,23.32,23.08,13.64
14/02/2022 9:00,14/02/2022,9:00,22,2/14/22 9:09:00 AM,Bush,Large,2,Winter,37023,1.22,143.3,23.34,1.22,157.3,23.34,1.99,20.39,47.51,9.01,1065.451,533.17,1.8,23.18,23.37,13.72
14/02/2022 9:00,14/02/2022,9:00,22,2/14/22 9:09:00 AM,Bush,Large,2,Winter,37024,1.054,181.2,25.17,1.054,195.2,25.18,1.87,19.88,48.84,8.93,1065.404,326.22,1.97,22.34,23.09,13.69
15/02/2022 8:00,15/02/2022,8:00,19.5,2/15/22 8:09:00 AM,Bush,Large,2,Winter,37160,1.589,103.3,51.08,1.589,117.4,51.1,3.46,18.75,52.37,8.94,1066.291,347.56,0.8,18.55,20.31,13.77
15/02/2022 8:00,15/02/2022,8:00,19.5,2/15/22 8:09:00 AM,Bush,Large,2,Winter,37161,1.546,152.4,11.76,1.546,166.6,11.8,3.09,18.68,52.19,8.79,1066.327,290.46,0.97,18.53,20.38,13.74
15/02/2022 8:00,15/02/2022,8:00,19.5,2/15/22 8:09:00 AM,Bush,Large,2,Winter,37162,1.019,142.2,21.24,1.019,156.2,21.25,2.07,18.69,52.08,8.79,1066.459,299.94,1.13,18.75,20.05,13.74
16/02/2022 8:00,16/02/2022,8:00,21.5,2/16/22 8:09:00 AM,Bush,Large,2,Winter,37304,2.164,266.9,8.58,2.164,281,8.57,3.08,19.14,47.85,7.997,1065.935,283.61,0.62,18.59,19.97,13.73
16/02/2022 8:00,16/02/2022,8:00,21.5,2/16/22 8:09:00 AM,Bush,Large,2,Winter,37305,1.214,282.3,53.39,1.214,296.4,53.37,2.41,19.74,46.3,8.03,1066.059,328.84,0.78,19.41,21.1,13.73
16/02/2022 8:00,16/02/2022,8:00,21.5,2/16/22 8:09:00 AM,Bush,Large,2,Winter,37306,1.991,65.6,18.82,1.991,79.69,18.81,3.38,19.66,47.14,8.25,1066.131,344.89,0.95,19.5,21.71,13.73
17/02/2022 12:00,17/02/2022,12:00,25.5,2/17/22 12:09:00 PM,Bush,Large,2,Winter,37473,2.955,19.62,15.68,2.955,33.64,15.71,4.49,21.41,43.86,8.73,1057.367,415.64,4.43,23.76,23.08,13.62
17/02/2022 2:00,17/02/2022,2:00,24.5,2/17/22 2:09:00 PM,Bush,Large,2,Winter,37412,1.988,330.7,8.35,1.988,344.7,8.34,3.08,17.37,51.17,7.31,1060.896,0.28,8.7,14.94,16.34,12.67
17/02/2022 2:00,17/02/2022,2:00,24.5,2/17/22 2:09:00 PM,Bush,Large,2,Winter,37413,1.848,321.4,8.43,1.848,335.4,8.43,2.69,17.32,51,7.311,1060.696,0.39,8.7,14.9,16.35,12.67
