"Active_location","avg_ToSun","avg_ToShade","avg_Tsurface_open","avg_radiation","mean_DF","sd_DF","DF.CI.25","DF.CI97.5","mean_DE","sd_DE","DE.CI.25","DE.CI97.5","n_hours","Round_percentage","season","habitat_loss","climate_change"
"burrow",45.5678497025448,40.98969490999,44.0707907471932,413.746675838173,NA,NA,NA,NA,NA,NA,NA,NA,287,0.355638166047088,"Summer","none",0
"Bush-Large",42.6081345210974,34.0613495334335,40.0101762820513,573.945283119658,-0.0825397428163726,0.521631784297521,-1.19190878903613,0.70969426055047,0.377896127987719,0.361479372868414,0.0246127555042772,1.19190878903613,26,0.0322180916976456,"Summer","none",0
"Bush-Medium",42.0230271428692,34.8605934453854,39.862720959596,492.615378787879,-0.270826876634848,0.534699655755257,-1.54824766558464,0.494868022668132,0.38701441985286,0.453686117093079,0.0238919390722879,1.54824766558464,22,0.0272614622057001,"Summer","none",0
"Bush-Small",45.7643011681586,35.3185654514421,42.6289351851852,688.870611111111,-0.0701518549000786,0.431921409174871,-1.11737145280003,0.204225134394557,0.232517771147886,0.365927098959967,0.0066550951751168,1.11737145280003,15,0.0185873605947955,"Summer","none",0
"open",35.5735065261968,35.7617842426838,35.294581372549,162.13141675817,0.273506526196822,1.08765756521546,-2.12616141683956,2.22091047329701,0.90009869912176,0.662474681868418,0.0285909317566357,2.34678322745228,85,0.105328376703841,"Summer","none",0
"Rock-Large",47.8738125159831,38.1778515460345,45.2653017676768,617.530841287879,0.732886896393948,1.18011519054849,-2.00597069275395,2.4054038436504,1.12673190930025,0.810509698229824,0.00746852173656674,2.47451920358272,220,0.272614622057001,"Summer","none",0
"Rock-Medium",45.9844590068387,36.7729322692088,43.0570356234097,656.909308948261,-0.0910840404082505,1.3014460512126,-2.55381001376966,2.19056581242565,1.0254421694559,0.801561972963457,0.0211783493261954,2.55381001376966,131,0.162329615861214,"Summer","none",0
"Rock-Small",40.637233077738,34.8920385759514,38.7350595238095,447.065132275132,-0.696608508521891,1.2504814083925,-2.75873942283983,0.854326063727562,1.01316855307069,0.997694489716021,0.032219177323757,2.75873942283983,21,0.0260223048327138,"Summer","none",0
"burrow",47.1378963455129,41.1795612386811,45.140218063553,541.158067485605,NA,NA,NA,NA,NA,NA,NA,NA,521,0.645600991325898,"Summer","Rock",0
"Bush-Large",42.0842803756878,34.6640010246974,39.2346246246246,513.357695195195,-0.0627587099857285,0.932869685098935,-2.27535322847498,1.38261647961489,0.633116053645406,0.679943852961651,0.0276379483643424,2.27535322847498,37,0.0458488228004957,"Summer","Rock",0
"Bush-Medium",42.8848392230037,35.2839448846654,39.9112810140237,485.421156957929,-0.143384823480565,1.49254823450113,-2.58830885084636,2.40201620940096,1.26246953648427,0.799378441337117,0.0516448538863386,2.58830885084636,103,0.127633209417596,"Summer","Rock",0
"Bush-Small",46.1262132391446,37.0783463905315,42.2919917257683,717.582848699764,0.65375814273161,0.883926082435905,-0.507066407063775,2.28137171806938,0.798912871518283,0.752249489292329,0.012427670853938,2.28137171806938,47,0.0582403965303594,"Summer","Rock",0
