"Active_location","avg_ToSun","avg_ToShade","avg_Tsurface_open","avg_radiation","mean_DF","sd_DF","DF.CI.25","DF.CI97.5","mean_DE","sd_DE","DE.CI.25","DE.CI97.5","n_hours","Round_percentage","season","habitat_loss","climate_change"
"burrow",19.5735016266199,18.5218568558993,18.7934064501878,269.85544124144,NA,NA,NA,NA,NA,NA,NA,NA,503,0.901433691756272,"Winter","none",0
"open",30.5360712744334,23.0803633368192,27.4868737373737,664.230313131313,-1.16392872556656,1.14374739015602,-2.8211303635663,1.16269630240518,1.38089078708719,0.863599553257875,0.0989049902749809,2.8211303635663,55,0.0985663082437276,"Winter","none",0
"burrow",19.5735016266199,18.8712228047108,18.760663353214,269.972034459907,NA,NA,NA,NA,NA,NA,NA,NA,503,0.901433691756272,"Winter","Rock",0
"open",30.5360712744334,24.5314248236303,27.4202727272727,668.288757575758,-1.16392872556656,1.14374739015602,-2.8211303635663,1.16269630240518,1.38089078708719,0.863599553257875,0.0989049902749809,2.8211303635663,55,0.0985663082437276,"Winter","Rock",0
"burrow",19.5735016266199,18.1742784512909,18.8261495471615,269.738848022973,NA,NA,NA,NA,NA,NA,NA,NA,503,0.901433691756272,"Winter","Bush",0
"open",30.5360712744334,21.6293018500081,27.5534747474747,660.171868686869,-1.16392872556656,1.14374739015602,-2.8211303635663,1.16269630240518,1.38089078708719,0.863599553257875,0.0989049902749809,2.8211303635663,55,0.0985663082437276,"Winter","Bush",0
"burrow",19.8276324079214,18.896261146416,18.5877984548966,261.828917291525,NA,NA,NA,NA,NA,NA,NA,NA,489,0.876344086021505,"Winter","none",0.5
"open",30.6172707825352,23.5464943111397,27.180116747182,641.095849436393,-1.0827292174648,1.32747838176391,-2.93322242260978,1.61285728462096,1.44290102082097,0.916057144422029,0.120704133408426,2.93322242260978,69,0.123655913978495,"Winter","none",0.5
"burrow",19.8276324079214,19.2194264206165,18.5522092706203,261.475282890252,NA,NA,NA,NA,NA,NA,NA,NA,489,0.876344086021505,"Winter","Rock",0.5
"open",30.6172707825352,24.9582991143007,27.1405555555556,647.686980676329,-1.0827292174648,1.32747838176391,-2.93322242260978,1.61285728462096,1.44290102082097,0.916057144422029,0.120704133408426,2.93322242260978,69,0.123655913978495,"Winter","Rock",0.5
"burrow",19.8276324079214,18.5749339430711,18.6233876391729,262.182551692797,NA,NA,NA,NA,NA,NA,NA,NA,489,0.876344086021505,"Winter","Bush",0.5
"open",30.6172707825352,22.1346895079787,27.2196779388084,634.504718196457,-1.0827292174648,1.32747838176391,-2.93322242260978,1.61285728462096,1.44290102082097,0.916057144422029,0.120704133408426,2.93322242260978,69,0.123655913978495,"Winter","Bush",0.5
"burrow",20.0631729240021,19.2760416418815,18.3698595874355,252.179657759025,NA,NA,NA,NA,NA,NA,NA,NA,474,0.849462365591398,"Winter","none",1
"Bush-Small",28.2135552729658,26.0532371047574,25.8941666666667,372.675,-2.7809664051296,NA,-2.7809664051296,-2.7809664051296,2.7809664051296,NA,2.7809664051296,2.7809664051296,1,0.0017921146953405,"Winter","none",1
"open",30.7662603974213,23.8692633373868,26.8873962516734,630.893028781794,-0.933739602578742,1.44975589883265,-2.862459301814,2.04879174708457,1.45980862537007,0.909541004010636,0.042574622244582,2.86245930181401,83,0.148745519713262,"Winter","none",1
"burrow",20.0631729240021,19.5682395693435,18.3352749648383,251.633062587904,NA,NA,NA,NA,NA,NA,NA,NA,474,0.849462365591398,"Winter","Rock",1
"Bush-Small",28.2135552729658,27.2926341754259,26.155,392.79,-2.7809664051296,NA,-2.7809664051296,-2.7809664051296,2.7809664051296,NA,2.7809664051296,2.7809664051296,1,0.0017921146953405,"Winter","Rock",1
"open",30.7662603974213,25.2620798807107,26.8391967871486,637.168112449799,-0.933739602578742,1.44975589883265,-2.862459301814,2.04879174708457,1.45980862537007,0.909541004010636,0.042574622244582,2.86245930181401,83,0.148745519713262,"Winter","Rock",1
"burrow",20.0803316236842,18.9980089650234,18.4196629239766,252.936429239766,NA,NA,NA,NA,NA,NA,NA,NA,475,0.851254480286738,"Winter","Bush",1
"open",30.7662603974213,22.4764467940628,26.9355957161981,624.617945113788,-0.933739602578742,1.44975589883265,-2.862459301814,2.04879174708457,1.45980862537007,0.909541004010636,0.042574622244582,2.86245930181401,83,0.148745519713262,"Winter","Bush",1
