"round_dt","microhabitat","avg_Tsurface_open","avg_ToSun","avg_ToShade","avg_radiation","de","season","climate_change"
"2022-01-10 10:00:00","open",24.15,25.6398246484382,20.1327166337563,517.71,6.0601753515618,"Winter",0
"2022-01-10 11:00:00","open",26.7333333333333,28.4851346109964,20.4386227396485,599.372777777778,3.03423736830977,"Winter",0
"2022-01-10 12:00:00","open",28.0344444444444,29.9305552524184,21.0615967548012,630.548333333333,1.73818168299063,"Winter",0
"2022-01-10 13:00:00","open",28.2477777777778,29.8309164996908,21.4785404712177,585.336111111111,1.76974691963765,"Winter",0
"2022-01-10 14:00:00","open",27.2261111111111,28.2965996448592,22.2715324058989,483.33,3.3164417358483,"Winter",0
"2022-01-10 15:00:00","open",25.0466666666667,25.3864100891214,22.3590897842488,319.393333333333,6.1489398351601,"Winter",0
"2022-01-10 16:00:00","burrow",21.3516666666667,20.951307975475,21.5576807200257,135.813333333333,NA,"Winter",0
"2022-01-10 17:00:00","burrow",18.6966666666667,17.8308318538462,21.4922473531691,23.12,NA,"Winter",0
"2022-01-11 07:00:00","burrow",12.21,11.5082485561567,15.3282383333138,41.2,NA,"Winter",0
"2022-01-11 08:00:00","burrow",14.7122222222222,14.6499438121743,16.9622473769674,167.047777777778,NA,"Winter",0
"2022-01-11 09:00:00","burrow",18.9127777777778,19.6477163473467,18.6229332648227,345.722222222222,NA,"Winter",0
"2022-01-11 10:00:00","open",24.2333333333333,25.4674320864874,18.5268941105723,481.562222222222,5.9704529584075,"Winter",0
"2022-01-11 11:00:00","open",27.45,29.0475144498267,19.4649419692945,588.963333333333,2.49485487669277,"Winter",0
"2022-01-11 12:00:00","open",29.6961111111111,31.2892967729447,19.9169152944125,617.601111111111,0.329759756328265,"Winter",0
"2022-01-11 13:00:00","open",30.6755555555556,32.031313919293,20.5875613679015,575.444444444444,0.284832924918451,"Winter",0
"2022-01-11 14:00:00","open",29.2794444444444,30.1921529308705,21.2629173734691,473.992777777778,1.4137790596261,"Winter",0
"2022-01-11 15:00:00","open",27.2366666666667,27.4881245849329,21.5066318810414,318.09,4.042879119147,"Winter",0
"2022-01-11 16:00:00","burrow",22.7183333333333,22.259136992024,21.0287854977825,133.732777777778,NA,"Winter",0
"2022-01-11 17:00:00","burrow",19.4333333333333,18.561781676582,20.8659754935925,23.3,NA,"Winter",0
"2022-01-12 07:00:00","burrow",11.54,10.9353811256246,15.4216535098826,42.25,NA,"Winter",0
"2022-01-12 08:00:00","burrow",14.4244444444444,14.4247271939137,17.415878373379,173.214444444444,NA,"Winter",0
"2022-01-12 09:00:00","burrow",18.8005555555556,19.2643151701835,18.0706120847601,284.766666666667,NA,"Winter",0
"2022-01-12 10:00:00","open",24.0772222222222,25.2051320533861,18.6330559263798,447.565555555556,6.35153876604353,"Winter",0
"2022-01-12 11:00:00","open",27.68,29.5545087851205,19.6751469214462,629.542222222222,1.9168103428146,"Winter",0
"2022-01-12 12:00:00","open",26.2611111111111,27.3107237270375,20.1213504097398,462.66,3.7936377557231,"Winter",0
"2022-01-12 13:00:00","open",26.5066666666667,27.3980194644926,20.7324134192685,431.700555555556,3.7420305847753,"Winter",0
"2022-01-12 14:00:00","open",25.1661111111111,25.4697463389474,21.0275785442633,300.241111111111,5.76016309235947,"Winter",0
"2022-01-12 15:00:00","burrow",23.5011111111111,23.2456500404908,21.0257957312806,173.390555555556,NA,"Winter",0
"2022-01-12 16:00:00","burrow",21.2333333333333,20.6232699919334,20.6029124933803,85.4494444444445,NA,"Winter",0
"2022-01-12 17:00:00","burrow",19.8866666666667,19.1159965366834,20.5312682221138,40.4466666666667,NA,"Winter",0
"2022-01-13 07:00:00","burrow",12.26,11.5134221478544,15.442064619225,33.72,NA,"Winter",0
"2022-01-13 08:00:00","burrow",14.0738888888889,13.6061140872001,16.2239920982292,90.3794444444444,NA,"Winter",0
"2022-01-13 09:00:00","burrow",15.8077777777778,15.7596478779549,16.8720988453862,165.762222222222,NA,"Winter",0
"2022-01-13 10:00:00","burrow",17.2027777777778,17.2018646249299,17.5653180793035,178.802222222222,NA,"Winter",0
"2022-01-13 11:00:00","open",24.3133333333333,25.9872512623664,18.6558723163363,550.674444444444,5.11289724054847,"Winter",0
"2022-01-13 12:00:00","open",25.9633333333333,27.1984223781616,20.0925025140746,481.507222222222,4.0789090350086,"Winter",0
"2022-01-13 13:00:00","open",27.6583333333333,29.1282007445779,20.7837169601713,545.235,2.51403901468625,"Winter",0
"2022-01-13 14:00:00","open",26.92,27.956837656276,21.5419847317162,458.543888888889,3.66127741268945,"Winter",0
"2022-01-13 15:00:00","burrow",24.4088888888889,24.7736232014978,22.0138656972896,301.58,NA,"Winter",0
"2022-01-13 16:00:00","burrow",21.7366666666667,21.3003401218889,21.6828635213951,123.457777777778,NA,"Winter",0
"2022-01-13 17:00:00","burrow",20.0033333333333,19.167349100601,21.7809670119257,32.42,NA,"Winter",0
"2022-01-14 07:00:00","burrow",15.49,14.9224556788481,16.6847125122992,53.63,NA,"Winter",0
"2022-01-14 08:00:00","burrow",16.5855555555556,16.0987099976872,17.1880045607602,79.5477777777778,NA,"Winter",0
"2022-01-14 09:00:00","burrow",18.4955555555556,18.5072268020823,17.9421004350233,185.361666666667,NA,"Winter",0
"2022-01-14 10:00:00","burrow",20.38,20.5162594034126,18.7220174148962,217.682777777778,NA,"Winter",0
"2022-01-14 11:00:00","burrow",20.4188888888889,20.2755276928227,19.176692565734,162.036111111111,NA,"Winter",0
"2022-01-14 12:00:00","burrow",20.2022222222222,20.0634206592657,19.7405107648889,154.943333333333,NA,"Winter",0
"2022-01-14 13:00:00","burrow",19.9372222222222,19.8561730103149,20.3221091631929,167.037222222222,NA,"Winter",0
"2022-01-14 14:00:00","burrow",22.97,23.8082244935066,20.357773806233,380.306111111111,NA,"Winter",0
"2022-01-14 15:00:00","burrow",23.7494444444444,23.8356128738634,20.521135180658,241.301666666667,NA,"Winter",0
"2022-01-14 16:00:00","burrow",20.95,20.5653229720894,19.9070135173578,118.674444444444,NA,"Winter",0
"2022-01-14 17:00:00","burrow",19.49,18.791134143134,19.6691070280885,48.91,NA,"Winter",0
"2022-01-15 07:00:00","burrow",10.58,9.92597684889205,14.9699851086166,16,NA,"Winter",0
"2022-01-15 08:00:00","burrow",11.7594444444444,11.3592961699314,15.6403269768353,69.5355555555555,NA,"Winter",0
"2022-01-15 09:00:00","burrow",15.7461111111111,15.6480440271476,16.9890880490447,153.283888888889,NA,"Winter",0
"2022-01-15 10:00:00","burrow",17.7805555555556,17.7103108404151,17.9542993253332,170.787777777778,NA,"Winter",0
"2022-01-15 11:00:00","burrow",19.2427777777778,19.0007020324786,18.9895818298715,138.051111111111,NA,"Winter",0
"2022-01-15 12:00:00","burrow",22.2072222222222,22.1018429513601,19.5804382618224,180.724444444444,NA,"Winter",0
"2022-01-15 13:00:00","burrow",20.5472222222222,19.9930406407849,19.524645122442,90.1333333333333,NA,"Winter",0
"2022-01-15 14:00:00","burrow",19.6794444444444,19.050284114903,19.5513861911889,70.1288888888889,NA,"Winter",0
"2022-01-15 15:00:00","burrow",20.8011111111111,20.3055732144145,19.5125943904155,99.6166666666667,NA,"Winter",0
"2022-01-15 16:00:00","burrow",17.7472222222222,16.9277239080085,18.6023121340535,17.93,NA,"Winter",0
