round_dt,microhabitat,microhabitat_num,avg_Tsurface_open,avg_ToSun,avg_ToShade,avg_radiation,de,season,climate_change,dt,day
01/02/2022 8:00,burrow,2,16.51722222,17.37615294,16.92152337,258.2283333,NA,Winter,0,01/02/2022 8:00,0.333333333
01/02/2022 9:00,burrow,2,19.10277778,21.09842198,18.0931757,443.1927778,NA,Winter,0,01/02/2022 9:00,0.375
01/02/2022 10:00,burrow,2,22.26111111,24.97462384,18.49536955,579.7277778,NA,Winter,0,01/02/2022 10:00,0.416666667
01/02/2022 11:00,open,1,24.36722222,27.85865007,19.63455037,711.795,3.692201855,Winter,0,01/02/2022 11:00,0.458333333
01/02/2022 12:00,burrow,2,23.48833333,24.32874214,19.46023267,306.0133333,NA,Winter,0,01/02/2022 12:00,0.5
01/02/2022 13:00,open,1,24.56777778,26.16642385,19.62198711,427.9833333,4.608335151,Winter,0,01/02/2022 13:00,0.541666667
01/02/2022 14:00,open,1,23.87777778,25.99598719,20.2670622,495.9983333,5.505665054,Winter,0,01/02/2022 14:00,0.583333333
01/02/2022 15:00,burrow,2,22.80833333,24.14245772,20.68074966,368.1911111,NA,Winter,0,01/02/2022 15:00,0.625
01/02/2022 16:00,burrow,2,20.54111111,20.79980004,20.63183514,181.8116667,NA,Winter,0,01/02/2022 16:00,0.666666667
02/02/2022 8:00,burrow,2,14.26277778,14.98800916,16.6656988,237.8961111,NA,Winter,0,02/02/2022 8:00,1.333333333
02/02/2022 9:00,burrow,2,17.88555556,19.81955052,18.15119699,430.5855556,NA,Winter,0,02/02/2022 9:00,1.375
02/02/2022 10:00,burrow,2,21.785,24.5236068,19.05355285,579.62,NA,Winter,0,02/02/2022 10:00,1.416666667
02/02/2022 11:00,open,1,23.81833333,27.05870965,19.56628098,667.5533333,4.516914225,Winter,0,02/02/2022 11:00,1.458333333
02/02/2022 12:00,open,1,26.34833333,29.58580553,20.35937381,683.4566667,1.966974161,Winter,0,02/02/2022 12:00,1.5
02/02/2022 13:00,open,1,27.285,30.26632018,21.07498819,652.3083333,1.384589843,Winter,0,02/02/2022 13:00,1.541666667
02/02/2022 14:00,open,1,25.82666667,28.10985596,21.68361747,532.76,3.527445473,Winter,0,02/02/2022 14:00,1.583333333
02/02/2022 15:00,burrow,2,23.35166667,24.2091286,21.66019472,295.2266667,NA,Winter,0,02/02/2022 15:00,1.625
02/02/2022 16:00,burrow,2,21.58833333,21.45337125,21.01706235,132.5933333,NA,Winter,0,02/02/2022 16:00,1.666666667
03/02/2022 8:00,burrow,2,14.86166667,15.64420883,18.66238284,250.935,NA,Winter,0,03/02/2022 8:00,2.333333333
03/02/2022 9:00,burrow,2,18.765,20.69008945,19.60446642,443.0016667,NA,Winter,0,03/02/2022 9:00,2.375
03/02/2022 10:00,open,1,22.42333333,25.11168004,19.80044705,582.5716667,6.223333896,Winter,0,03/02/2022 10:00,2.416666667
03/02/2022 11:00,open,1,25.18666667,28.36282985,20.57658675,680.56,3.113971282,Winter,0,03/02/2022 11:00,2.458333333
03/02/2022 12:00,open,1,27.49166667,30.60448368,21.14381186,693.4316667,0.922544092,Winter,0,03/02/2022 12:00,2.5
03/02/2022 13:00,open,1,28.14333333,30.91878383,22.10058531,639.1,0.718922629,Winter,0,03/02/2022 13:00,2.541666667
03/02/2022 14:00,open,1,27.42166667,29.53165452,22.94327057,513.16,1.760434513,Winter,0,03/02/2022 14:00,2.583333333
03/02/2022 15:00,open,1,25.63333333,26.68218318,23.81169271,352.56,4.411044915,Winter,0,03/02/2022 15:00,2.625
03/02/2022 16:00,Rock-Small,6,23.63666667,23.09506336,22.90196104,97.68,6.154149648,Winter,0,03/02/2022 16:00,2.666666667
03/02/2022 16:00,Rock-Medium,7,,,,,,,,,NA
03/02/2022 16:00,Rock-Large,8,,,,,,,,,NA
03/02/2022 16:00,Bush-Small,3,,,,,,,,,NA
03/02/2022 16:00,Bush-Medium,4,,,,,,,,,NA
03/02/2022 16:00,Bush-Large,5,,,,,,,,,NA
