round_dt,Date,Time,iButton_Temp,Time_Date,Date.x,Time.x,Object,Size,Month,Season,dt.x,TIMESTAMP,Date.y,Time.y,RECORD,Speed_AVG,Direction_AVG,Direction_StDev,Raw_Speed_AVG,Raw_Direction_AVG,Raw_Direction_StDev,Speed_Max,Temperature_Avg,RH_Avg,Dewpoint_T_Avg,Pressure_Avg,Radiation_Avg,Sunshine,IR_Temp_Avg,IRdetectorT_Avg,Batt_Min,dt.y,ToShade,ToSun,active_sun,distance_from_vtmean_sun,active_shade,distance_from_vtmean_shade,absolute_distance_sun,absolute_distance_shade,Active_location,Active_location_size,active_rock_bush,distance_from_vtmean_rock_bush,absolute_distance_from_vtmean_rock_bush,minimum_absolute_distance_from_vtmean_rock_bush
14/02/2022 10:00,14/02/2022,10:00,22.5,2/14/22 10:09:00 AM,2/14/22,10:09:00,Bush,Large,2,Winter,14/02/2022 10:09,14/02/2022 9:50,14/02/2022,9:50,37028,0.903,119.5,48.86,0.903,133.5,48.87,2.14,20.56,47.47,9.15,1065.4,370.21,2.63,22.49,22.66,13.67,14/02/2022 9:50,22.37595012,23.41557471,No,-8.28442529,No,-9.32404988,8.28442529,9.32404988,Bush,Bush-Large,No,-9.2,9.2,9.2
14/02/2022 10:00,14/02/2022,10:00,22.5,2/14/22 10:09:00 AM,2/14/22,10:09:00,Bush,Large,2,Winter,14/02/2022 10:09,14/02/2022 10:00,14/02/2022,10:00,37029,0.785,358,62.74,0.785,12.01,62.74,1.5,20.78,47.13,9.18,1065.34,397.78,2.8,23.21,22.85,13.64,14/02/2022 10:00,22.39107672,24.2496831,No,-7.4503169,No,-9.30892328,7.4503169,9.30892328,Bush,Bush-Large,No,-9.2,9.2,9.2
14/02/2022 10:00,14/02/2022,10:00,22.5,2/14/22 10:09:00 AM,2/14/22,10:09:00,Bush,Large,2,Winter,14/02/2022 10:09,14/02/2022 10:10,14/02/2022,10:10,37030,1.037,51.65,38.31,1.037,65.65,38.31,1.67,20.91,46.99,9.24,1065.233,396.38,2.97,23.32,23.08,13.64,14/02/2022 10:10,22.40003104,24.35389978,No,-7.34610022,No,-9.29996896,7.34610022,9.29996896,Bush,Bush-Large,No,-9.2,9.2,9.2
14/02/2022 9:00,14/02/2022,9:00,22,2/14/22 9:09:00 AM,2/14/22,9:09:00,Bush,Large,2,Winter,14/02/2022 9:09,14/02/2022 9:00,14/02/2022,9:00,37023,1.22,143.3,23.34,1.22,157.3,23.34,1.99,20.39,47.51,9.01,1065.451,533.17,1.8,23.18,23.37,13.72,14/02/2022 9:00,21.89913034,24.92866322,No,-6.77133678,No,-9.80086966,6.77133678,9.80086966,Bush,Bush-Large,No,-9.7,9.7,9.7
14/02/2022 9:00,14/02/2022,9:00,22,2/14/22 9:09:00 AM,2/14/22,9:09:00,Bush,Large,2,Winter,14/02/2022 9:09,14/02/2022 9:10,14/02/2022,9:10,37024,1.054,181.2,25.17,1.054,195.2,25.18,1.87,19.88,48.84,8.93,1065.404,326.22,1.97,22.34,23.09,13.69,14/02/2022 9:10,21.86424257,22.99370492,No,-8.70629508,No,-9.83575743,8.70629508,9.83575743,Bush,Bush-Large,No,-9.7,9.7,9.7
15/02/2022 8:00,15/02/2022,8:00,19.5,2/15/22 8:09:00 AM,2/15/22,8:09:00,Bush,Large,2,Winter,15/02/2022 8:09,15/02/2022 7:50,15/02/2022,7:50,37160,1.589,103.3,51.08,1.589,117.4,51.1,3.46,18.75,52.37,8.94,1066.291,347.56,0.8,18.55,20.31,13.77,15/02/2022 7:50,19.45934653,19.52336757,No,-12.17663243,No,-12.24065347,12.17663243,12.24065347,Bush,Bush-Large,No,-12.2,12.2,12.2
15/02/2022 8:00,15/02/2022,8:00,19.5,2/15/22 8:09:00 AM,2/15/22,8:09:00,Bush,Large,2,Winter,15/02/2022 8:09,15/02/2022 8:00,15/02/2022,8:00,37161,1.546,152.4,11.76,1.546,166.6,11.8,3.09,18.68,52.19,8.79,1066.327,290.46,0.97,18.53,20.38,13.74,15/02/2022 8:00,19.45461903,19.18521166,No,-12.51478834,No,-12.24538097,12.51478834,12.24538097,Bush,Bush-Large,No,-12.2,12.2,12.2
15/02/2022 8:00,15/02/2022,8:00,19.5,2/15/22 8:09:00 AM,2/15/22,8:09:00,Bush,Large,2,Winter,15/02/2022 8:09,15/02/2022 8:10,15/02/2022,8:10,37162,1.019,142.2,21.24,1.019,156.2,21.25,2.07,18.69,52.08,8.79,1066.459,299.94,1.13,18.75,20.05,13.74,15/02/2022 8:10,19.45529418,19.44172541,No,-12.25827459,No,-12.24470582,12.25827459,12.24470582,Bush,Bush-Large,No,-12.2,12.2,12.2
16/02/2022 8:00,16/02/2022,8:00,21.5,2/16/22 8:09:00 AM,2/16/22,8:09:00,Bush,Large,2,Winter,16/02/2022 8:09,16/02/2022 7:50,16/02/2022,7:50,37304,2.164,266.9,8.58,2.164,281,8.57,3.08,19.14,47.85,7.997,1065.935,283.61,0.62,18.59,19.97,13.73,16/02/2022 7:50,21.34860698,19.1955437,No,-12.5044563,No,-10.35139302,12.5044563,10.35139302,Bush,Bush-Large,No,-10.2,10.2,10.2
16/02/2022 8:00,16/02/2022,8:00,21.5,2/16/22 8:09:00 AM,2/16/22,8:09:00,Bush,Large,2,Winter,16/02/2022 8:09,16/02/2022 8:00,16/02/2022,8:00,37305,1.214,282.3,53.39,1.214,296.4,53.37,2.41,19.74,46.3,8.03,1066.059,328.84,0.78,19.41,21.1,13.73,16/02/2022 8:00,21.3893756,20.23963821,No,-11.46036179,No,-10.3106244,11.46036179,10.3106244,Bush,Bush-Large,No,-10.2,10.2,10.2
